Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,CategoryID,Sub-CategoryID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Quantity,Discount%,EmployeeID
43,CA-2016-101343,2016-07-17 00:00:00.000,2016-07-22 00:00:00.000,Standard Class,RA-19885,2,6,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,2,0,17
1267,US-2014-167738,2014-12-24 00:00:00.000,2014-12-29 00:00:00.000,Standard Class,JC-16105,2,6,Julie Creighton,Corporate,United States,Los Angeles,California,90045,West,OFF-ST-10003306,1,0,17
2061,CA-2014-106439,2014-10-31 00:00:00.000,2014-11-04 00:00:00.000,Standard Class,GG-14650,2,6,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003996,5,0,17
2065,CA-2014-106439,2014-10-31 00:00:00.000,2014-11-04 00:00:00.000,Standard Class,GG-14650,2,6,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10001963,4,0,17
2637,CA-2015-162369,2015-08-15 00:00:00.000,2015-08-19 00:00:00.000,Standard Class,TT-21265,2,6,Tim Taslimi,Corporate,United States,Los Angeles,California,90045,West,OFF-ST-10000046,2,0,17
90,CA-2016-109806,2016-09-17 00:00:00.000,2016-09-22 00:00:00.000,Standard Class,JS-15685,2,2,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,3,0,17
420,CA-2017-110478,2017-03-04 00:00:00.000,2017-03-09 00:00:00.000,Standard Class,SP-20860,2,2,Sung Pak,Corporate,United States,Los Angeles,California,90045,West,OFF-AR-10001573,4,0,17
1856,CA-2014-114643,2014-06-13 00:00:00.000,2014-06-17 00:00:00.000,Standard Class,FM-14215,2,2,Filia McAdams,Corporate,United States,Los Angeles,California,90032,West,OFF-AR-10003631,3,0,17
2068,CA-2014-106439,2014-10-31 00:00:00.000,2014-11-04 00:00:00.000,Standard Class,GG-14650,2,2,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-AR-10001419,3,0,17
3759,CA-2015-167745,2015-09-18 00:00:00.000,2015-09-23 00:00:00.000,Standard Class,GB-14530,2,2,George Bell,Corporate,United States,Los Angeles,California,90049,West,OFF-AR-10003602,2,0,17
92,CA-2016-109806,2016-09-17 00:00:00.000,2016-09-22 00:00:00.000,Standard Class,JS-15685,2,5,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,1,0,17
1315,CA-2016-145919,2016-12-18 00:00:00.000,2016-12-23 00:00:00.000,Standard Class,HG-14965,2,5,Henry Goldwyn,Corporate,United States,Los Angeles,California,90032,West,OFF-PA-10003072,6,0,17
2063,CA-2014-106439,2014-10-31 00:00:00.000,2014-11-04 00:00:00.000,Standard Class,GG-14650,2,5,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10000477,13,0,17
421,CA-2017-110478,2017-03-04 00:00:00.000,2017-03-09 00:00:00.000,Standard Class,SP-20860,2,10,Sung Pak,Corporate,United States,Los Angeles,California,90045,West,OFF-EN-10000483,1,0,17
1473,CA-2017-164959,2017-07-11 00:00:00.000,2017-07-15 00:00:00.000,Standard Class,KN-16390,2,7,Katherine Nockton,Corporate,United States,Los Angeles,California,90004,West,OFF-LA-10004272,3,0,17
1317,CA-2016-145919,2016-12-18 00:00:00.000,2016-12-23 00:00:00.000,Standard Class,HG-14965,2,8,Henry Goldwyn,Corporate,United States,Los Angeles,California,90032,West,OFF-SU-10003505,5,0,17
3760,CA-2015-167745,2015-09-18 00:00:00.000,2015-09-23 00:00:00.000,Standard Class,GB-14530,2,8,George Bell,Corporate,United States,Los Angeles,California,90049,West,OFF-SU-10004782,2,0,17
2060,CA-2014-106439,2014-10-31 00:00:00.000,2014-11-04 00:00:00.000,Standard Class,GG-14650,2,9,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-FA-10002975,3,0,17
3787,CA-2016-144218,2016-10-31 00:00:00.000,2016-11-04 00:00:00.000,Standard Class,JD-15895,2,6,Jonathan Doherty,Corporate,United States,Los Angeles,California,90045,West,OFF-ST-10002615,7,0,17
4217,CA-2015-111234,2015-02-18 00:00:00.000,2015-02-22 00:00:00.000,Standard Class,AB-10600,2,7,Ann Blume,Corporate,United States,Los Angeles,California,90004,West,OFF-LA-10002271,3,0,17
4297,CA-2017-117261,2017-09-04 00:00:00.000,2017-09-10 00:00:00.000,Standard Class,TH-21235,2,6,Tiffany House,Corporate,United States,Los Angeles,California,90032,West,OFF-ST-10000419,4,0,17
