Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,CategoryID,Sub-CategoryID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Quantity,Discount%,EmployeeID
161,CA-2016-162733,2016-05-11 00:00:00.000,2016-05-12 00:00:00.000,First Class,TT-21070,2,5,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002751,1,0,17
559,CA-2016-113243,2016-06-10 00:00:00.000,2016-06-15 00:00:00.000,Standard Class,OT-18730,2,5,Olvera Toch,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10003441,5,0,17
557,CA-2016-113243,2016-06-10 00:00:00.000,2016-06-15 00:00:00.000,Standard Class,OT-18730,2,7,Olvera Toch,Consumer,United States,Los Angeles,California,90045,West,OFF-LA-10001297,2,0,17
1142,CA-2014-146969,2014-09-29 00:00:00.000,2014-10-03 00:00:00.000,Standard Class,AP-10915,1,1,Arthur Prichep,Consumer,United States,Los Angeles,California,90045,West,FUR-FU-10004188,2,0,17
1143,CA-2014-146969,2014-09-29 00:00:00.000,2014-10-03 00:00:00.000,Standard Class,AP-10915,2,9,Arthur Prichep,Consumer,United States,Los Angeles,California,90045,West,OFF-FA-10001561,4,0,17
1144,CA-2014-146969,2014-09-29 00:00:00.000,2014-10-03 00:00:00.000,Standard Class,AP-10915,2,5,Arthur Prichep,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002105,1,0,17
1146,CA-2014-146969,2014-09-29 00:00:00.000,2014-10-03 00:00:00.000,Standard Class,AP-10915,2,6,Arthur Prichep,Consumer,United States,Los Angeles,California,90045,West,OFF-ST-10004340,1,0,17
1229,CA-2017-100013,2017-11-06 00:00:00.000,2017-11-11 00:00:00.000,Standard Class,ZC-21910,2,10,Zuschuss Carroll,Consumer,United States,Los Angeles,California,90045,West,OFF-EN-10001219,2,0,17
1230,CA-2017-100013,2017-11-06 00:00:00.000,2017-11-11 00:00:00.000,Standard Class,ZC-21910,1,1,Zuschuss Carroll,Consumer,United States,Los Angeles,California,90045,West,FUR-FU-10001424,1,0,17
1231,CA-2017-100013,2017-11-06 00:00:00.000,2017-11-11 00:00:00.000,Standard Class,ZC-21910,2,2,Zuschuss Carroll,Consumer,United States,Los Angeles,California,90045,West,OFF-AR-10001022,2,0,17
2405,CA-2017-108574,2017-10-07 00:00:00.000,2017-10-11 00:00:00.000,Standard Class,MG-18145,3,4,Mike Gockenbach,Consumer,United States,Los Angeles,California,90045,West,TEC-AC-10002049,9,0,17
2413,CA-2014-151295,2014-11-12 00:00:00.000,2014-11-16 00:00:00.000,Standard Class,JA-15970,2,5,Joseph Airdo,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10001947,2,0,17
3074,CA-2016-125206,2016-01-03 00:00:00.000,2016-01-05 00:00:00.000,First Class,LR-16915,2,6,Lena Radford,Consumer,United States,Los Angeles,California,90045,West,OFF-ST-10003692,2,0,17
3985,CA-2016-135265,2016-07-07 00:00:00.000,2016-07-09 00:00:00.000,Second Class,CC-12370,2,5,Christopher Conant,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002923,1,0,17
4179,CA-2016-148593,2016-06-16 00:00:00.000,2016-06-18 00:00:00.000,Second Class,BD-11320,2,5,Bill Donatelli,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10001776,5,0,17
4312,CA-2014-125829,2014-11-04 00:00:00.000,2014-11-11 00:00:00.000,Standard Class,WB-21850,2,5,William Brown,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10000223,3,0,17
4315,CA-2015-115945,2015-06-25 00:00:00.000,2015-07-01 00:00:00.000,Standard Class,AB-10165,2,2,Alan Barnes,Consumer,United States,Los Angeles,California,90045,West,OFF-AR-10004062,2,0,17
4317,CA-2015-115945,2015-06-25 00:00:00.000,2015-07-01 00:00:00.000,Standard Class,AB-10165,2,6,Alan Barnes,Consumer,United States,Los Angeles,California,90045,West,OFF-ST-10001963,3,0,17
4637,CA-2017-168228,2017-04-27 00:00:00.000,2017-04-29 00:00:00.000,First Class,AP-10915,2,2,Arthur Prichep,Consumer,United States,Los Angeles,California,90045,West,OFF-AR-10003373,4,0,17
