EmployeeKey,EmployeeID,Salesperson,Title,UPN
272,502097814,Stephen Jiang,North American Sales Manager,stephen-jiang@powercycles.com
277,112432117,Brian Welcker,Director of Sales,brian-welcker@powercycles.com
281,841560125,Michael Blythe,Sales Representative,michael-blythe@powercycles.com
282,191644724,Linda Mitchell,Sales Representative,linda-mitchell@powercycles.com
283,615389812,Jillian Carson,Sales Representative,jillian-carson@powercycles.com
284,234474252,Garrett Vargas,Sales Representative,garrett-vargas@powercycles.com
285,716374314,Tsvi Reiter,Sales Representative,tsvi-reiter@powercycles.com
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@powercycles.com
287,139397894,Shu Ito,Sales Representative,shu-ito@powercycles.com
288,399771412,José Saraiva,Sales Representative,jose-saraiva@powercycles.com
289,987554265,David Campbell,Sales Representative,david-campbell@powercycles.com
290,982310417,Amy Alberts,European Sales Manager,amy-alberts@powercycles.com
291,668991357,Jae Pak,Sales Representative,jae-pak@powercycles.com
292,134219713,Ranjit Varkey Chudukatil,Sales Representative,ranjit-varkey-chudukatil@powercycles.com
293,90836195,Tete Mensa-Annan,Sales Representative,tete-mensa-annan@powercycles.com
294,481044938,Syed Abbas,Pacific Sales Manager,syed-abbas@powercycles.com
295,954276278,Rachel Valdez,Sales Representative,rachel-valdez@powercycles.com
296,758596752,Lynn Tsoflias,Sales Representative,lynn-tsoflias@powercycles.com
